CODIGO_ENTIDAD,NOMBRE,TIPO_GESTION,ESTADO_LICENCIAMIENTO,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,LATITUD,LONGITUD
  001 ,UNIVERSIDAD NACIONAL MAYOR DE SAN MARCOS,PÚBLICO,LICENCIA OTORGADA,LIMA,LIMA,LIMA,140101,-120.560.257,-770.844.226
  002,UNIVERSIDAD NACIONAL DE SAN CRISTÓBAL DE HUAMANGA,PÚBLICO,LICENCIA OTORGADA,AYACUCHO,HUAMANGA,AYACUCHO,50101,-131.612.654,-742.257.339
  003,UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,PÚBLICO,LICENCIA OTORGADA,CUSCO,CUSCO,CUSCO,70101,-1.352.193,-719.583.208
  004,UNIVERSIDAD NACIONAL DE TRUJILLO,PÚBLICO,LICENCIA OTORGADA,LA LIBERTAD,TRUJILLO,TRUJILLO,120101,-8.114.377.814,-7.903.790.143
  005,UNIVERSIDAD NACIONAL DE SAN AGUSTÍN DE AREQUIPA,PÚBLICO,LICENCIA OTORGADA,AREQUIPA,AREQUIPA,AREQUIPA,40101,-16.403.293,-7.152.488.856
  006,UNIVERSIDAD NACIONAL DE INGENIERÍA,PÚBLICO,LICENCIA OTORGADA,LIMA,LIMA,RÍMAC,140122,-1.202.373.883,-7.704.837.621
  007,UNIVERSIDAD NACIONAL AGRARIA LA MOLINA,PÚBLICO,LICENCIA OTORGADA,LIMA,LIMA,LA MOLINA,140110,-1.207.842.882,-7.694.659.456
  008,PONTIFICIA UNIVERSIDAD CATÓLICA DEL PERÚ,PRIVADO,LICENCIA OTORGADA,LIMA,LIMA,SAN MIGUEL,140127,-1.207.149.852,-7.707.838.661
  009,UNIVERSIDAD NACIONAL SAN LUIS GONZAGA DE ICA,PÚBLICO,LICENCIA OTORGADA,ICA,ICA,ICA,100101,-140.871.322,-757.335.148
  010,UNIVERSIDAD NACIONAL DEL CENTRO DEL PERÚ,PÚBLICO,LICENCIA OTORGADA,JUNÍN,HUANCAYO,EL TAMBO,110113,-1.203.251.125,-7.523.588.361
  011,UNIVERSIDAD NACIONAL DE LA AMAZONÍA PERUANA,PÚBLICO,LICENCIA OTORGADA,LORETO,MAYNAS,SAN JUAN BAUTISTA,150113,-376.462.148,-7.327.088.066
  012,UNIVERSIDAD NACIONAL DEL ALTIPLANO,PÚBLICO,LICENCIA OTORGADA,PUNO,PUNO,PUNO,200101,-158.243.805,-700.162.544
  013,UNIVERSIDAD NACIONAL DE PIURA,PÚBLICO,LICENCIA OTORGADA,PIURA,PIURA,CASTILLA,190103,-5.179.311,-806.188.325
  014,UNIVERSIDAD PERUANA CAYETANO HEREDIA,PRIVADO,LICENCIA OTORGADA,LIMA,LIMA,SAN MARTÍN DE PORRES,140126,-1.202.388.414,-7.705.635.292
  015,UNIVERSIDAD CATÓLICA DE SANTA MARÍA,PRIVADO,LICENCIA OTORGADA,AREQUIPA,AREQUIPA,AREQUIPA,40101,-164.061.786,-715.476.298
  016,UNIVERSIDAD NACIONAL DE CAJAMARCA,PÚBLICO,LICENCIA OTORGADA,CAJAMARCA,CAJAMARCA,CAJAMARCA,60101,-7.167.193.596,-7.849.652.308
  017,UNIVERSIDAD DEL PACÍFICO,PRIVADO,LICENCIA OTORGADA,LIMA,LIMA,JESÚS MARÍA,140133,-1.208.432.305,-7.704.814.024
  018,UNIVERSIDAD DE LIMA,PRIVADO,LICENCIA OTORGADA,LIMA,LIMA,SANTIAGO DE SURCO,140130,-120.839.637,-7.697.064.472
  019,UNIVERSIDAD DE SAN MARTÍN DE PORRES,PRIVADO,LICENCIA OTORGADA,LIMA,LIMA,SANTA ANITA,140143,-1.204.549.813,-7.696.765.898
  020,UNIVERSIDAD FEMENINA DEL SAGRADO CORAZÓN,PRIVADO,LICENCIA OTORGADA,LIMA,LIMA,LA MOLINA,140110,-120.716.313,-769.650.529
  021,UNIVERSIDAD NACIONAL FEDERICO VILLARREAL,PÚBLICO,LICENCIA OTORGADA,LIMA,LIMA,LIMA,140101,-120.475.424,-770.405.694
  022,UNIVERSIDAD NACIONAL AGRARIA DE LA SELVA,PÚBLICO,LICENCIA OTORGADA,HUÁNUCO,LEONCIO PRADO,RUPA-RUPA,90601,-9.314.010.213,-7.599.662.598
  023,UNIVERSIDAD NACIONAL HERMILIO VALDIZÁN DE HUÁNUCO,PÚBLICO,LICENCIA OTORGADA,HUÁNUCO,HUÁNUCO,PILLCO MARCA,90111,-9.949.638.156,-7.625.011.821
  025,UNIVERSIDAD NACIONAL DE EDUCACIÓN ENRIQUE GUZMÁN Y VALLE,PÚBLICO,LICENCIA OTORGADA,LIMA,LIMA,LURIGANCHO,140112,-1.194.648.842,-7.670.131.631
  026,UNIVERSIDAD NACIONAL DANIEL ALCIDES CARRIÓN,PÚBLICO,LICENCIA OTORGADA,PASCO,PASCO,YANACANCHA,180114,-1.066.848.129,-7.625.272.318
  027,UNIVERSIDAD NACIONAL DEL CALLAO,PÚBLICO,LICENCIA OTORGADA,CALLAO,PROV. CONST. DEL CALLAO,BELLAVISTA,240102,-1.206.205.068,-7.711.740.342
  028,UNIVERSIDAD NACIONAL JOSÉ FAUSTINO SÁNCHEZ CARRIÓN,PÚBLICO,LICENCIA OTORGADA,LIMA,HUAURA,HUACHO,140501,-1.112.206.837,-7.760.676.911
