CODIGO_ENTIDAD,NOMBRE,TIPO_GESTION,ESTADO_LICENCIAMIENTO,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,LATITUD,LONGITUD,FECHA_CORTE
  024,UNIVERSIDAD INCA GARCILASO DE LA VEGA ASOCIACIÓN CIVIL,PRIVADO,LICENCIA DENEGADA,LIMA,LIMA,LINCE,140111,-120.828.451,-770.345.819,17/08/2022
  031,UNIVERSIDAD NACIONAL PEDRO RUIZ GALLO,PÚBLICO,LICENCIA DENEGADA,LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,130301,-6.707.069.414,-7.990.669.663,17/08/2022
  036,UNIVERSIDAD ANDINA NÉSTOR CÁCERES VELÁSQUEZ,PRIVADO,LICENCIA DENEGADA,PUNO,SAN ROMÁN,JULIACA,200901,-15.532.748,-70.118.667,17/08/2022
  044,UNIVERSIDAD PARTICULAR DE CHICLAYO,PRIVADO,LICENCIA DENEGADA,LAMBAYEQUE,CHICLAYO,PIMENTEL,130110,-6.790.111,-798.783.334,17/08/2022
  045,UNIVERSIDAD SAN PEDRO,PRIVADO,LICENCIA DENEGADA,ÁNCASH,SANTA,CHIMBOTE,21301,-9.076.107.052,-785.944.451,17/08/2022
  048,UNIVERSIDAD JOSÉ CARLOS MARIÁTEGUI,PRIVADO,LICENCIA DENEGADA,MOQUEGUA,MARISCAL NIETO,MOQUEGUA,170101,-171.900.294,-709.423.867,17/08/2022
  050,UNIVERSIDAD CIENTÍFICA DEL PERÚ,PRIVADO,LICENCIA DENEGADA,LORETO,MAYNAS,SAN JUAN BAUTISTA,150113,-3.769.188.297,-7.328.203.694,17/08/2022
  053,UNIVERSIDAD CATÓLICA LOS ÁNGELES DE CHIMBOTE,PRIVADO,LICENCIA DENEGADA,ÁNCASH,SANTA,CHIMBOTE,21301,-9.073.847.881,-7.859.355.615,17/08/2022
058,UNIVERSIDAD ALAS PERUANAS S.A.,PRIVADO,LICENCIA DENEGADA,LIMA,LIMA,JESÚS MARÍA,140133,-1.208.137.781,-7.704.667.389,17/08/2022
063,GRUPO EDUCATIVO UNIVERSIDAD PRIVADA DE ICA S.A.C.,PRIVADO,LICENCIA DENEGADA,ICA,ICA,ICA,100101,-140.767.829,-757.338.981,17/08/2022
070,UNIVERSIDAD PRIVADA ANTONIO GUILLERMO URRELO S.A.C.,PRIVADO,LICENCIA DENEGADA,CAJAMARCA,CAJAMARCA,CAJAMARCA,60101,-7.156.522,-785.145.522,17/08/2022
078,UNIVERSIDAD PERUANA DE LAS AMÉRICAS S.A.C.,PRIVADO,LICENCIA DENEGADA,LIMA,LIMA,LIMA,140101,-120.630.477,-770.380.365,17/08/2022
081,UNIVERSIDAD PERUANA DE CIENCIAS E INFORMÁTICA S.A.C.,PRIVADO,LICENCIA DENEGADA,LIMA,LIMA,LINCE,140111,-1.208.794.324,-7.703.352.126,17/08/2022
083,UNIVERSIDAD PRIVADA TELESUP S.A.C.,PRIVADO,LICENCIA DENEGADA,LIMA,LIMA,LIMA,140101,-120.640.089,-770.345.749,17/08/2022
085,UNIVERSIDAD PRIVADA SERGIO BERNALES S.A.,PRIVADO,LICENCIA DENEGADA,LIMA,CAÑETE,SAN VICENTE DE CAÑETE,140401,-1.307.308.595,-7.636.939.859,17/08/2022
086,UNIVERSIDAD PRIVADA DE PUCALLPA S.A.C.,PRIVADO,LICENCIA DENEGADA,UCAYALI,CORONEL PORTILLO,CALLERIA,250101,-8.388.089,-74.531.292,17/08/2022
090,UNIVERSIDAD PRIVADA DE TRUJILLO,PRIVADO,LICENCIA DENEGADA,LA LIBERTAD,TRUJILLO,LAREDO,120103,-81.081.445,-7.899.437,17/08/2022
091,UNIVERSIDAD PRIVADA SAN CARLOS S.A.C.,PRIVADO,LICENCIA DENEGADA,PUNO,PUNO,PUNO,200101,-158.395.008,-700.295.166,17/08/2022
092,UNIVERSIDAD PERUANA SIMÓN BOLÍVAR S.A.C.,PRIVADO,LICENCIA DENEGADA,LIMA,LIMA,PUEBLO LIBRE,140117,-120.715.043,-770.510.267,17/08/2022
093,UNIVERSIDAD PERUANA DE INTEGRACIÓN GLOBAL S.A.C.,PRIVADO,LICENCIA DENEGADA,LIMA,LIMA,SANTIAGO DE SURCO,140130,-12.134.611,-76.979.023,17/08/2022
094,UNIVERSIDAD PERUANA DEL ORIENTE S.A.C.,PRIVADO,LICENCIA DENEGADA,LORETO,MAYNAS,SAN JUAN BAUTISTA,150113,-3.771.757.644,-7.328.343.169,17/08/2022
099,UNIVERSIDAD PRIVADA JUAN MEJÍA BACA S.A.C.,PRIVADO,LICENCIA DENEGADA,LAMBAYEQUE,CHICLAYO,CHICLAYO,130101,-6.767.749.946,-7.983.256.828,17/08/2022
  102 ,UNIVERSIDAD PERUANA DEL CENTRO,PRIVADO,LICENCIA DENEGADA,JUNÍN,HUANCAYO,HUANCAYO,110101,-120.330.464,-75.237.332,17/08/2022
  103 ,UNIVERSIDAD PRIVADA ARZOBISPO LOAYZA S.A.C.,PRIVADO,LICENCIA DENEGADA,LIMA,LIMA,LIMA,140101,-120.739.859,-770.358.612,17/08/2022
  107 ,UNIVERSIDAD DE LAMBAYEQUE S.A.C.,PRIVADO,LICENCIA DENEGADA,LAMBAYEQUE,CHICLAYO,CHICLAYO,130101,-67.745.742,-798.450.745,17/08/2022
  109 ,UNIVERSIDAD PERUANA DE ARTE ORVAL S.A.C.,PRIVADO,LICENCIA DENEGADA,LIMA,LIMA,SAN BORJA,140140,-121.108.862,-769.912.619,17/08/2022
  110 ,UNIVERSIDAD PRIVADA DE LA SELVA PERUANA S.A.C.,PRIVADO,LICENCIA DENEGADA,LORETO,MAYNAS,IQUITOS,150101,-37.545.929,-732.471.887,17/08/2022
  111 ,UNIVERSIDAD CIENCIAS DE LA SALUD S.A.C.,PRIVADO,LICENCIA DENEGADA,AREQUIPA,AREQUIPA,YANAHUARA,40123,-164.029.451,-715.456.437,17/08/2022
  112 ,UNIVERSIDAD DE AYACUCHO FEDERICO FROEBEL S.A.C.,PRIVADO,LICENCIA DENEGADA,AYACUCHO,HUAMANGA,AYACUCHO,50101,-131.483.009,-74.228.788,17/08/2022
